system:index,date,mean_ndvi,urban_area_m2,vegetation_area_m2,water_area_m2,.geo
LC08_039035_20160608,2016-06-08,0.09173204328538173,4005732.5983958524,2640222.4282836914,5.92123588862884E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20160624,2016-06-24,0.08840886598872408,4986124.301889217,2358585.3189086914,8149900.990538593,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20160710,2016-07-10,0.08449015440309496,5519009.722858743,2849000.4471435547,1.0896837380072571E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20160726,2016-07-26,0.07445413811934541,4136795.8062959556,2651032.5454711914,2.2466903262332934E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20160912,2016-09-12,0.07422040100416488,5600152.985218003,2956944.7727661133,2.3622281856524202E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20161115,2016-11-15,0.048258387313218125,6525939.973411171,2646471.059387207,2.5712724744836348E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20161217,2016-12-17,0.04724860805225791,9195968.196358474,2347746.4522094727,2.880025564710638E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170118,2017-01-18,0.044966307891565874,8540817.74675245,1670179.6698608398,2.857527249029238E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170307,2017-03-07,0.10453089147208923,3264038.8583749807,2544534.042247099,2.5207124090974978E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170526,2017-05-26,0.09650575085033498,4681902.710553337,2793216.5239868164,1.7117430198235724E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170611,2017-06-11,0.09210785616136608,4679300.022277114,2803112.1716308594,1.883874953447505E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170627,2017-06-27,0.07449454787795397,5065861.853844496,2867900.443725586,1.8676904319508654E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170713,2017-07-13,0.07428859905208517,4673510.556566186,2990278.1469726562,2.3137422012498397E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170729,2017-07-29,0.07685617508092231,4904316.932730881,3134241.905883789,2.363290527013447E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
